Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,18853444,19357126,19737770,20170847,20779957,21606992,22600774,23680871,24726689,25654274,26433058,27100542,27722281,28394806,29185511,30117411,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,37.9457475001443,41.4326008731029,44.0943368543633,52.1857743728053,54.2431983947754,54.0550003051758,43.7711982727051,42.2761001586914,49.8432006835938,40.8591995239258,37.1372985839844,33.8625984191895,21.3437004089355,17.8504009246826,14.8990001678467,11.559100151062,14.404899597168,17.1049995422363,20.770299911499,20.2737998962402,24.7402992248535,25.082799911499,21.422700881958,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.65,11.64,11.64,11.69,11.65,11.63,11.68,11.68,11.61,11.52,11.34,11.18,11.11,11.46,11.52,11.51,11.52,11.54,11.45,11.39,11.31,11.18,11.06,10.98,11.73
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.660679028164,438.076142403179,543.302967401909,591.162798293135,641.871437960934,637.165463951798,613.856505217398,578.466352941708,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0625880343135185,0.0568266177530693,0.0531974990082466,0.040652730150598,0.0370549371204185,0.0374878650392429,0.0486708995010525,0.0570080382600792,0.0456996082249427,0.0639269698296666,0.0733929460601948,0.0870831291861248,0.158356377673251,0.211306250868557,0.297065211570221,0.407073503097594,0.335351023308404,0.263715760645502,0.234036914423758,0.232175631246749,0.208857195602366,0.20332756862023,0.200151071015376,..,..
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837743
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,51.63636055808,55.953349416169,49.9833654433978,42.7183134087746,41.4449996948242,39.125301361084,35.8958015441895,33.7517013549805,35.934700012207,36.8683013916016,31.7098999023438,32.100399017334,35.9118995666504,37.2151985168457,37.1137008666992,35.9611015319824,40.0466995239258,41.2869987487793,38.6973991394043,38.6255989074707,39.5872993469238,37.219799041748,38.2663993835449,..,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.57,16.55,16.55,16.62,16.58,16.54,16.61,16.61,16.52,16.4,16.17,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47,11.7
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1009.97766752106,717.380567391734,813.790263555599,1033.2416930932,1126.68331762741,1281.65939343074,1425.12484888368,1846.11881331912,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54012699014,4114.14011404922,4094.3503344202,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5355.84779459031,5215.27675237003
